Site,Clone,DBHcm,Hightm,DryWtKg,TreeAge
Ashland ,DN34 ,13.8,10.3,40.7,7
Ashland ,DN34 ,11.5,9.8,27.62,7 
Ashland ,DN34 ,10.3,9.3,21.88,7 
Ashland ,DN34 ,9.5,9.1,15.46,7 
Ashland ,DN34 ,8.3,7.5,15.34,5 
Ashland ,DN34 ,3.1,3.6,3.51,3 
Ashland ,DN34 ,2.7,3.4,2.09,3 
Ashland ,DN34 ,2.6,3.3,2.19,3 
Ashland ,DN34 ,1.8,2.6,1.16,3 
Ashland ,DN34 ,1.2,2.2,0.47,3 
Ashland ,NE308 ,10.1,9.2,17.66,5 
Ashland ,NE308 ,5.3,5.1,5.17,3
Ashland ,NE308 ,4.2,4.4,4.31,3 
Ashland ,NE308 ,3.5,3.9,2.84,3 
Ashland ,NE308 ,2.8,3.3,2.48,3 
Ashland ,NE308 ,2,2.9,0.97,3
Ashland ,DN182 ,8.9,8,19.38,5 
Ashland ,DN182 ,3.5,4.3,4.79,3 
Ashland ,DN182 ,3.3,4.2,4.29,3 
Ashland ,DN182 ,2.2,3.2,2.17,3 
Ashland ,DN182 ,2,2.7,1.49,3
Ashland ,DN182 ,1.6,2.2,0.99,3 
Ashland ,DN17 ,13.7,11,42.8,7 
Ashland ,DN17 ,11.7,11.3,29.84,7 
Ashland ,DN17 ,10.6,10.7,22.37,7 
Ashland ,DN17 ,9.4,10.1,18.49,7 
Ashland ,DN17 ,7.8,8.1,14.73,5 
Ashland ,DN17 ,5,6.3,6.12,5
Ashland ,DN17 ,4.2,4.1,3.96,3 
Ashland ,DN17 ,3.6,4.2,3.72,3 
Ashland ,DN17 ,3.2,3.9,2.85,3 
Ashland ,DN17 ,2.5,3.4,2.07,3 
Ashland ,DN17 ,2.2,3.1,1.67,3 
Ashland ,DN17 ,1.9,2.8,0.72,3 
Ashland ,Siouxland ,7.5,6.7,9.6,5 
Granite Falls ,DN34 ,22.9,,132.7,10 
Granite Falls ,DN34 ,22.2,17.5,128.2,10 
Granite Falls ,DN34 ,19.3,15.6,93.16,8 
Granite Falls ,DN34 ,18.5,16.3,83.5,8 
Granite Falls ,DN34 ,17.5,15.3,72.4,8 
Granite Falls ,DN34 ,16,15.1,61.39,8 
Granite Falls ,DN34 ,2,3.1,0.9,3
Granite Falls ,DN34 ,3.2,4.6,2.01,3 
Granite Falls ,DN34 ,4.3,5.1,2.82,3 
Granite Falls ,DN34 ,5.2,5.6,4.23,3 
Granite Falls ,DN34 ,6.4,6.4,7.03,3 
Granite Falls ,NE308 ,3.2,4.6,1.34,3 
Granite Falls ,NE308 ,4.1,5.8,2.36,3 
Granite Falls ,NE308 ,5,6.3,3.9,3
Granite Falls ,NE308 ,6.8,8.2,7.68,3 
Granite Falls ,NE308 ,7.6,7.4,9.7,3 
Granite Falls ,DN182 ,3.2,3.9,1.89,3 
Granite Falls ,DN182 ,4.1,5.5,3.38,3 
Granite Falls ,DN182 ,5.2,5.1,3.96,3 
Granite Falls ,DN182 ,6.7,6.9,6.94,3 
Granite Falls ,DN182 ,7.5,7.1,8.93,3 
Granite Falls ,DN17 ,2.2,3.5,1.02,3 
Granite Falls ,DN17 ,3.9,4.5,2.62,3 
Granite Falls ,DN17 ,4.7,5.6,3.22,3 
Granite Falls ,DN17 ,5,5.8,4.72,3
Granite Falls ,DN17 ,6.3,6.4,7.32,3 
Granite Falls ,DN17 ,19.8,18.5,112.3,10 
Granite Falls ,DN17 ,20.7,18.5,124.4,10 
Milaca ,NE387 ,11.4,8.5,25.19,5
Milaca ,NE387 ,10.6,8,22.66,4
Milaca ,NE387 ,9.1,7.8,15.57,4 
Milaca ,NE387 ,7.4,7.2,10.05,4 
Milaca ,NE387 ,6.6,6.8,7.51,4
Milaca ,NE387 ,5.3,5.6,6.15,4
Milaca ,NE54 ,10.3,8.6,20.43,5
Milaca ,NE54 ,6.2,7.3,7.56,5
Milaca ,NE54 ,10.5,8.8,23.4,4
Milaca ,NE54 ,9.5,8.6,23.11,4
Milaca ,NE54 ,8.4,8,17.2,4
Milaca ,NE54 ,6.5,7.5,8.02,4
Milaca ,NE54 ,5.7,7.3,6.84,4
Milaca ,DN182 ,21.5,19.4,118.9,10
Milaca ,DN182 ,19.5,18.5,84.6,10
Milaca ,DN182 ,18.6,15.5,83.77,8
Milaca ,DN182 ,16.5,15.8,60.74,8
Milaca ,DN182 ,12.2,11.1,28.58,5
Milaca ,DN182 ,12,10,25.61,4
Milaca ,DN182 ,10,9.4,20.37,4
Milaca ,DN182 ,5.8,7.6,6.09,4
Milaca ,DN182 ,4.5,5.8,4.77,4
Milaca ,NE308 ,12.9,12,28.49,5
Milaca ,NE308 ,12.1,9.4,23.55,4
Milaca ,NE308 ,10.2,9,15.13,4
Milaca ,NE308 ,7.8,8,9.6,4
Milaca ,NE308 ,5.1,6.5,3.45,4
Milaca ,DN17 ,19.7,19.3,106.3,10
Milaca ,DN17 ,21,18.8,98.5,10
Milaca ,DN17 ,19.9,16,84.33,8
Milaca ,DN17 ,14.9,15.4,55.32,8
Milaca ,DN17 ,13.5,11.1,33.6,5
Milaca ,DN17 ,11.1,8.9,21.28,4
Milaca ,DN17 ,8.8,8.5,16.11,4
Milaca ,DN17 ,5.6,7.4,5.81,4
Milaca ,DN17 ,3.6,5,2.25,4
Milaca ,DN34 ,20.8,18.1,115.4,10
Milaca ,DN34 ,19.2,18.7,98,10
Milaca ,DN34 ,13.4,9.7,35.23,5
Milaca ,DN34 ,9.5,7.6,15.89,4
Milaca ,DN34 ,7.2,7.4,10.97,4
Milaca ,DN34 ,6.1,7.2,6.41,4
Milaca ,DN34 ,3.1,5,1.7,4
Milaca ,Siouxland ,13.4,11.4,29.07,5
Sioux Falls ,Siouxland ,7,5.4,9.87,5
Sioux Falls ,NE308 ,9,7.2,15.03,5
Sioux Falls ,DN182 ,9,7.4,16.28,5
Sioux Falls ,DN34 ,12.2,10.3,27.35,7
Sioux Falls ,DN34 ,11,10.1,21.05,7
Sioux Falls ,DN34 ,9.9,7.4,21.33,5
Sioux Falls ,DN17 ,13.6,11.1,39.04,7
Sioux Falls ,DN17 ,11.5,10.6,24.05,7
Sioux Falls ,DN17 ,9.1,7.5,16.8,5
Mondovi ,DN182 ,20.1,20.6,118.7,10
Mondovi ,DN182 ,22,20.2,133.7,10
Mondovi ,DN182 ,12.7,13.1,34.13,5
Mondovi ,DN182 ,11.1,10.3,25.61,4
Mondovi ,DN182 ,9.4,9.9,15.27,4
Mondovi ,DN182 ,5.7,7.3,5.23,4
Mondovi ,DN182 ,3.8,5.6,2.52,4
Mondovi ,NE308 ,12,12.4,36.74,5
Mondovi ,NE308 ,10.2,10.2,23.3,4
Mondovi ,NE308 ,8.6,10.6,11.79,4
Mondovi ,NE308 ,6.8,8.9,7.82,4
Mondovi ,NE308 ,4.6,7,3.04,4
Mondovi ,DN17 ,17.8,17.1,78.22,7
Mondovi ,DN17 ,16.3,16.7,64.04,7
Mondovi ,DN17 ,15.5,15.4,59.58,7
Mondovi ,DN17 ,14.3,16.2,47.87,7
Mondovi ,DN17 ,13.1,12.8,41.63,4
Mondovi ,DN17 ,10.2,9.8,20.62,4
Mondovi ,DN17 ,8.8,9,12.91,4
Mondovi ,DN17 ,5.2,8,4.6,4
Mondovi ,DN17 ,3.7,5.7,2.02,4
Mondovi ,DN34 ,20.1,21,122.8,10
Mondovi ,DN34 ,21,20,127.3,10
Mondovi ,DN34 ,16.8,14.5,68.56,7
Mondovi ,DN34 ,15.7,15.3,56.08,7
Mondovi ,DN34 ,14.6,15.7,55.96,7
Mondovi ,DN34 ,11.2,11.3,28.65,5
Mondovi ,DN34 ,9.2,9.4,18.08,4
Mondovi ,DN34 ,8.1,8.8,12.02,4
Mondovi ,DN34 ,6.1,7.4,6.1,4
Mondovi ,DN34 ,4.3,5.5,3.59,4
Mondovi ,Siouxland ,12.3,11.9,33.01,5
Fargo ,DN182 ,14.6,11.1,46.65,8
Fargo ,DN182 ,15.2,10.8,44.68,8
Cloquet ,DN182 ,17.6,15,65,9
Cloquet ,DN182 ,16.4,15.1,60.4,9
